task,source_file,setting,embedding,comparator,metric,value,comparator_value,delta_vs_comparator_positive_is_better,metric_direction,is_failure,is_improvement,failure_magnitude,improvement_magnitude,small_test_warning,small_train_warning,diagnostic_only,severity_if_negative,direction
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=9;n_train=18;n_test=1,baseline,scGPT_human,mse,4.176182746887207,1.6089675426483154,2.5672152042388916,lower_is_better,True,False,2.5672152042388916,0,True,True,True,2.5672152042388916,failure
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=7;n_train=18;n_test=1,baseline,scGPT_human,mse,1.394498586654663,0.3976057767868042,0.9968928098678589,lower_is_better,True,False,0.9968928098678589,0,True,True,True,0.9968928098678589,failure
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=17;n_train=18;n_test=1,baseline,scGPT_human,mse,3.348284721374512,2.7716593742370605,0.5766253471374516,lower_is_better,True,False,0.5766253471374516,0,True,True,True,0.5766253471374516,failure
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=6;n_train=18;n_test=1,baseline,scGPT_human,mse,0.7992085218429565,0.2354008555412292,0.5638076663017273,lower_is_better,True,False,0.5638076663017273,0,True,True,True,0.5638076663017273,failure
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=1;n_train=18;n_test=1,baseline,scGPT_human,mse,0.5399034023284912,2.300218105316162,-1.760314702987671,lower_is_better,False,True,0,1.760314702987671,True,True,True,0,improvement
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=14;n_train=18;n_test=1,baseline,scGPT_human,mse,0.0845106616616249,0.6853030920028687,-0.6007924303412437,lower_is_better,False,True,0,0.6007924303412437,True,True,True,0,improvement
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=10;n_train=18;n_test=1,baseline,scGPT_human,mse,1.9843281507492063,2.471885204315185,-0.4875570535659788,lower_is_better,False,True,0,0.4875570535659788,True,True,True,0,improvement
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=3;n_train=18;n_test=1,baseline,scGPT_human,mse,0.4953187108039856,0.9064547419548036,-0.411136031150818,lower_is_better,False,True,0,0.411136031150818,True,True,True,0,improvement
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=11;n_train=18;n_test=1,baseline,scGPT_human,mse,0.0990769416093826,0.4614448249340057,-0.3623678833246231,lower_is_better,False,True,0,0.3623678833246231,True,True,True,0,improvement
perturbation_regression,results/perturbation_regression/perturbation_regression_fold_results.csv,dataset=dixit;context=dataset::all;method=frozen_linear;fold_id=2;n_train=18;n_test=1,baseline,scGPT_human,mse,0.6565757989883423,0.945810854434967,-0.28923505544662476,lower_is_better,False,True,0,0.28923505544662476,True,True,True,0,improvement
